,id_employee,code_postal,poste,nom,adresse,note,experience
0,0,02653,cuisinier,Kenneth Snow,Ap #109-9179 Quisque Rd.,0,4/5/2004
1,1,8323,cuisinier,Maia Garcia,606 Odio. Ave,1,3/5/2010
2,2,59-971,cuisinier,Shannon Mooney,"Ap #985-7190 Vulputate, Road",3,7/9/2020
3,3,42763,cuisinier,Tatyana Pace,Ap #344-5490 Pellentesque Avenue,0,26/11/2007
4,4,8546,cuisinier,Indira Vega,152-5825 Urna Rd.,9,16/4/2006
5,5,4430,cuisinier,Quinn Murphy,133 Sit St.,5,2/2/2001
6,6,8287,cuisinier,Montana Craig,5356 Auctor. Rd.,4,26/9/2016
7,7,5459,cuisinier,Sonya Reeves,"P.O. Box 552, 214 Feugiat St.",1,21/4/2018
8,8,68846,cuisinier,Valentine Trujillo,482-2515 Ante. Ave,7,10/6/2020
9,9,58254,cuisinier,Rylee Mccarty,Ap #609-4976 Sagittis Avenue,6,12/7/2002
10,10,656964,cuisinier,Laurel Guerrero,Ap #341-3955 Duis St.,7,20/12/2000
11,11,06-887,cuisinier,Axel Estrada,"P.O. Box 791, 897 Ultrices Ave",2,19/8/2019
12,12,540245,cuisinier,Ali Carlson,"P.O. Box 756, 278 Sed Rd.",1,16/9/2001
13,13,73873,cuisinier,Cheryl Holman,871-4297 Erat Road,8,18/6/2020
14,14,138261,cuisinier,Ahmed Osborn,"7609 Lacus, Road",9,6/1/2010
15,15,0381,caissier,Paki Patterson,"9172 A, Rd.",6,22/2/2017
16,16,452654,cuisinier,Peter Giles,"230-532 In, St.",6,30/4/2010
17,427,38-056,caissier,Angelica Mcguire,Ap #426-3790 Tellus. Av.,7,19/7/2014
18,428,25874,cuisinier,Kellie Jacobs,"913-4093 Eu, St.",0,29/6/2013
19,429,3004,caissier,Sonia Velasquez,"P.O. Box 428, 7643 Ullamcorper Av.",8,1/11/2003
20,430,41-681,cuisinier,Benedict Snyder,Ap #580-3978 Mattis Avenue,4,15/1/2023
21,431,73873,caissier,Cecilia Casey,9386 In Avenue,8,21/2/2004
22,432,25753,cuisinier,Aline Cochran,154-4804 Rutrum Av.,8,3/1/2021
23,433,37348978,caissier,Yeo Chen,Ap #482-7774 Cras Rd.,4,26/12/2013
24,434,20609,cuisinier,Baker Irwin,"P.O. Box 652, 3179 Tortor. St.",8,30/1/2003
25,435,25874,caissier,Jermaine Mooney,Ap #465-4746 Nisi Ave,1,31/7/2018
26,436,171674,cuisinier,Shelly Sullivan,"Ap #705-8212 Enim, Street",9,24/1/2004
27,437,6738,caissier,Carol Dickson,Ap #582-3936 Cubilia Av.,8,30/4/2012
28,438,12727-178,cuisinier,Hilel Woodward,"P.O. Box 230, 6999 Nunc St.",9,9/6/2005
